,0.0,0.02,0.04,0.06,0.08,0.1
nodes,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
edges,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0
components,1.0,1.0,1.0,1.0,1.0,1.0
closeness,0.2888519630712592,0.2877708213282493,0.2871095167409894,0.28614371600343547,0.2852454337899543,0.2842314801649367
betweenness,0.00031534806323361357,0.0003292049071466954,0.00033944430920318524,0.00036430591628363235,0.0003713306301406875,0.0003992942520292754
clustering,0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.01,0.0095,0.008,0.0085,0.011,0.011
h(1) deanonymization [2-4],0.023,0.0245,0.0205,0.0215,0.0155,0.01
h(1) deanonymization [5-10],0.022,0.013,0.0255,0.0235,0.0165,0.023
h(1) deanonymization [11-20],0.0305,0.037,0.038,0.033,0.0495,0.0445
h(1) deanonymization [20-inf],0.9145,0.916,0.908,0.9135,0.9075,0.9115
h(2) deanonymization [1],0.977,0.9815,0.99,0.989,0.9875,0.992
h(2) deanonymization [2-4],0.023,0.0185,0.01,0.011,0.0125,0.008
h(2) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],1.0,1.0,1.0,1.0,1.0,1.0
h(3) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],1.0,1.0,1.0,1.0,1.0,1.0
h(4) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
