,0.01,0.02,0.03
nodes,5000.0,5000.0,5000.0
edges,19984.0,19984.0,19984.0
components,1.0,1.0,1.0
closeness,0.269495134835554,0.26903102567713094,0.2685252331859378
betweenness,0.00012332980725842383,0.00012810714179370262,0.00013003584617756934
clustering,0.0,0.0,0.0
h(0) deanonymization [1],0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0
h(1) deanonymization [1],0.005577689243027889,0.0046,0.0048
h(1) deanonymization [2-4],0.00597609561752988,0.0086,0.0116
h(1) deanonymization [5-10],0.018924302788844622,0.015,0.0102
h(1) deanonymization [11-20],0.012749003984063745,0.0156,0.0174
h(1) deanonymization [20-inf],0.9567729083665338,0.9562,0.956
h(2) deanonymization [1],0.9702,0.9712,0.9774
h(2) deanonymization [2-4],0.0266,0.0278,0.0226
h(2) deanonymization [5-10],0.0032,0.001,0.0
h(2) deanonymization [11-20],0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0
h(3) deanonymization [1],1.0,1.0,1.0
h(3) deanonymization [2-4],0.0,0.0,0.0
h(3) deanonymization [5-10],0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0
h(4) deanonymization [1],1.0,1.0,1.0
h(4) deanonymization [2-4],0.0,0.0,0.0
h(4) deanonymization [5-10],0.0,0.0,0.0
h(4) deanonymization [11-20],0.0,0.0,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0
