,0.0,0.05,0.1,0.2,0.5,1.0
nodes,100.0,100.0,100.0,100.0,100.0,100.0
edges,257.0,257.0,257.0,257.0,257.0,257.0
components,1.0,1.0,1.0,1.0,1.0,1.0
diameter,6.0,6.0,6.0,6.0,6.0,5.0
closeness,0.34375,0.34079274795591896,0.34494773519163763,0.3413793103448276,0.3498233215547703,0.336163957108267
betweenness,0.01826557327769774,0.015249391919150729,0.017463398508543837,0.015315615630693818,0.015427287447746352,0.017295620792296143
clustering,0.0,0.031746031746031744,0.041666666666666664,0.0,0.0,0.0
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.025,0.016666666666666666,0.01,0.016666666666666666,0.01,0.016666666666666666
h(1) deanonymization [2-4],0.075,0.058333333333333334,0.09,0.041666666666666664,0.09,0.05
h(1) deanonymization [5-10],0.041666666666666664,0.08333333333333333,0.06,0.2,0.05,0.21666666666666667
h(1) deanonymization [11-20],0.5166666666666667,0.475,0.6,0.38333333333333336,0.85,0.36666666666666664
h(1) deanonymization [20-inf],0.3416666666666667,0.36666666666666664,0.24,0.35833333333333334,0.0,0.35
h(2) deanonymization [1],0.94,0.94,0.88,0.9,0.92,1.0
h(2) deanonymization [2-4],0.06,0.06,0.12,0.1,0.08,0.0
h(2) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],1.0,1.0,1.0,1.0,1.0,1.0
h(3) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],1.0,1.0,1.0,1.0,1.0,1.0
h(4) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
