,0.02,0.04,0.06
nodes,5000.0,5000.0,5000.0
edges,20000.0,20000.0,20000.0
components,1.0,1.0,1.0
closeness,0.2204630650496141,0.2211849033228618,0.22187701127191864
betweenness,0.0006409642682236266,0.0006370615188626039,0.0006359219062460346
clustering,0.05555555555555555,0.05555555555555555,0.047619047619047616
h(0) deanonymization [1],0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0
h(1) deanonymization [1],0.0,0.0002,0.0
h(1) deanonymization [2-4],0.0,0.0,0.0004
h(1) deanonymization [5-10],0.001,0.003,0.0014
h(1) deanonymization [11-20],0.0024,0.0026,0.0056
h(1) deanonymization [20-inf],0.9966,0.9942,0.9926
h(2) deanonymization [1],0.63,0.6562,0.692
h(2) deanonymization [2-4],0.3202,0.3106,0.2848
h(2) deanonymization [5-10],0.0476,0.0332,0.0232
h(2) deanonymization [11-20],0.0022,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0
h(3) deanonymization [1],1.0,1.0,1.0
h(3) deanonymization [2-4],0.0,0.0,0.0
h(3) deanonymization [5-10],0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0
h(4) deanonymization [1],1.0,1.0,1.0
h(4) deanonymization [2-4],0.0,0.0,0.0
h(4) deanonymization [5-10],0.0,0.0,0.0
h(4) deanonymization [11-20],0.0,0.0,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0
